Timestamp,Username,VideoID,Comment,Date
2024-12-07T16:51:50Z,@michelecruz6365,ltNVyvK8Paw,The one thing i so admire about President Trump is how he builds good relationships with foreign leaders. I so love his strategies.,2024-12-07T16:51:50Z
2024-11-10T03:41:11Z,@MyLifeTheStruggle1,ltNVyvK8Paw,2024 304,2024-11-10T03:41:11Z
2024-11-03T23:23:39Z,@alfredm5400,ltNVyvK8Paw,trump 2024 🎉,2024-11-03T23:23:39Z
2024-10-22T20:48:18Z,@MarcosAntonio-z8y9h,ltNVyvK8Paw,@Buenas noches fuerza brutalidad hoy coneza el ústed  presidente Donald trump homble  de lo  Norte  america nosotros de la America de lo sur ti amamos de coracon buena suerte.,2024-10-22T20:48:18Z
2024-10-22T20:43:31Z,@langtran-nn2jq,ltNVyvK8Paw,❤❤❤❤❤❤,2024-10-22T20:43:31Z
2024-10-22T20:40:52Z,@MarcosAntonio-z8y9h,ltNVyvK8Paw,"@Thank you God for forgive Ness though the president Donald Trump  everything  in moment  of  sunshine  in  to the hearts of the peoples of the World 
..",2024-10-22T20:40:52Z
2024-10-22T09:06:05Z,@mdjahangirhossain-l2d,ltNVyvK8Paw,Well done ❤❤❤❤❤ 6:25,2024-10-22T09:06:05Z
2024-10-22T08:57:40Z,@marienzasokau8127,ltNVyvK8Paw,"It is now October, the twenty second day of the year twenty twenty four ( Fifteen days 'til D-Day ) and, me still don't get tired watching these twenty sixteen Trump rallies for, the more me watch these and such, me learn and confirm more truth and real facts happening differing the destruction vs rebuilding of ""We The Peoples"" lives and America, The Country Itself and, maybe the world. [ 2024/25,TRUMP-47 ]🇺🇸🇺🇸☝✊✊👍👏👏👏🇺🇸🇺🇸 .., 🤗Still Enjoying Me 🍿🍺 ❣",2024-10-22T08:57:40Z
2024-10-16T09:25:09Z,@Juana.V.V,ltNVyvK8Paw,u  s   e  presidente   republicano    presidente   donal   trump   2024   🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,2024-10-16T09:25:09Z
2024-10-14T10:05:58Z,@Eugenio-c3o,ltNVyvK8Paw,I'M PALAUAN FROM PALAU ISLAND LOCATED IN WESTERN CAROLINE 96940 I'M REPUBLICAN  I'M SUPPORTING TRUMP BE& VANCE AND WE GONNA WIN THIS ELECTION TELL KAMALA HARRIS TO GO BACK WHERE HER MOTHER COME FROM,2024-10-14T10:05:58Z
2024-10-13T19:13:44Z,@john-s7u7z,ltNVyvK8Paw,"As I stood in line with thousands of people to get on a bus to the Trump Coachella rally in 100 degree heat, I saw a mix of men, women and children that were white, black, latino, asian and native american. I just thought to myself yea, this is AMERICA and it is beautiful. After talking to many of these people I heard a common theme. They understood that the corporate media and the Democratic party are liars and are manipulating people to undermine their rights, wealth, culture, religion and safety to build their own wealth and power over the people.",2024-10-13T19:13:44Z
2024-10-13T06:38:13Z,@SoFunny-ui5dz,ltNVyvK8Paw,"Shambala/ Kakala is a liar liar pants on fire...seriously?! Bowed out of the Fox Debate, knowingly covered up  Biden's dementia, failing to  coherently discuss her immigration, economic, & foreign policies...need I go on? Sure, u may passed your physical exam how about also taking a standard intelligence test?",2024-10-13T06:38:13Z
2024-10-13T03:12:29Z,@sgodbacolod5407,ltNVyvK8Paw,thats how you love your country! respect the flag!,2024-10-13T03:12:49Z
2024-10-13T01:32:06Z,@VernaArnold-m5x,ltNVyvK8Paw,God Bless The USA and Trump,2024-10-13T01:32:06Z
2024-10-06T19:15:04Z,@e14ee,ltNVyvK8Paw,"Definitely higher energy than his 2024 rallies, I miss this",2024-10-06T19:15:04Z
2024-10-04T03:55:08Z,@MonicaGarcia-v8l,ltNVyvK8Paw,TRUMP / VANCE 2024. VOTE RED. VOTE REPUBLICAN. FLIP IT RED CALI !❤❤❤❤❤❤❤❤❤FREEDOM ! MADE IN USA !! USA! USA! USA!❤❤❤❤❤❤❤❤❤❤❤❤❤GOD BLESS MY BROTHERS & SISTERS ❤❤❤❤❤❤❤❤❤,2024-10-04T03:55:08Z
2024-10-01T04:26:20Z,@Wwefandom4154,ltNVyvK8Paw,This almost ten years old crazy to think.,2024-10-01T04:26:20Z
2024-09-26T03:25:05Z,@NgaDam-o7x,ltNVyvK8Paw,"❤❤❤❤❤❤That la tuyet với CHUA danphai Trump xuong de cứu nuoc ,cứu dan hop Chung quoc biet yeu nuocnthuong nguoi dan yeu nuoc hop Chung quoc tuyet voi nay,,",2024-09-26T03:25:05Z
2024-09-26T03:20:55Z,@NgaDam-o7x,ltNVyvK8Paw,"Thap tuyệt voi  khi tong thong di den tham cac noi va cung la vav dong cu9c tranh cu xung dang nay ,,,Day la nhung nguoi yeu nuoc. 5h phai yeu Trumnrat tuyệt voi hoi nguoi dan yeu nuoc chung lungvanbau cho Donald  la nguoi lanh dao yeu nuoc yeu dan va co tam honvtrach nhiem lanh dao,,,",2024-09-26T03:20:55Z
2024-09-14T17:12:38Z,@jenniferg9305,ltNVyvK8Paw,Not good national anthem!  She simply sneered and was out of tune.  That’s probably why they wanted to skip it!,2024-09-14T17:12:38Z
2024-09-07T18:39:24Z,@justjosie8963,ltNVyvK8Paw,"Anaheim! I didn't know, I might have made that trip.",2024-09-07T18:39:24Z
2024-09-01T02:27:09Z,@SapME3,ltNVyvK8Paw,"Only Jesus can MAKE AMERICA GREAT AGAIN...Trump has great intentions but this has become more than a human can bare...seek Jesus to MAKE AMERICA GREAT AGAIN and,  cast your vote for Trump...Thank you LORD and Amen...",2024-09-01T02:27:09Z
2024-08-27T03:12:07Z,@kazs.7403,ltNVyvK8Paw,i’m asians from california,2024-08-27T03:12:07Z
2024-08-01T16:26:33Z,@5thribroarn304,ltNVyvK8Paw,America's National Anthem was sang beautifully!!,2024-08-01T16:26:33Z
