,Comment,timestamp,sentiment,sentiment_label,year_month,HF_Sentiment,HF_Score_Confidence
0,I totally support and endorse Donald.,2016-06-25 10:54:46+00:00,0.6764,Positive,2016-06,POSITIVE,0.9987922310829163
1,Is that Tito Ortiz from the UFC next to the lady singing on the right of her?? LOL,2016-06-07 21:11:38+00:00,0.5984,Positive,2016-06,POSITIVE,0.9881458282470703
2,"I actually can't watch this, first 20 minutes and all he's doing is saying how great he is without actually talking for 1 second about some actual politics. How does the US entertain this guy? He would not get close to leadership in any other country.",2016-05-31 14:22:36+00:00,0.7506,Positive,2016-05,NEGATIVE,0.9995075464248657
3,he is a coward,2016-05-31 08:16:06+00:00,-0.4588,Negative,2016-05,NEGATIVE,0.9993190765380859
4,😴😴😴,2016-05-31 05:53:00+00:00,0.0,Neutral,2016-05,POSITIVE,0.9979233741760254
5,Donald is a moron,2016-05-31 02:44:02+00:00,-0.4939,Negative,2016-05,NEGATIVE,0.9994484782218933
6,"AMEN, we always have lots of time for our National Anthem.  We love you, Mr. Trump and we Love to Hear Our National Anthem. U.S.A. THE BEST COUNTRY IN THE WORLD BY A LANDSLIDE!!",2016-05-26 16:32:14+00:00,0.9424,Positive,2016-05,POSITIVE,0.9987761378288269
7,Anyone believe him? lmfao,2016-05-26 03:56:58+00:00,0.5423,Positive,2016-05,NEGATIVE,0.979685366153717
8,I love this channel Great audio & video quality,2016-05-26 03:00:31+00:00,0.8519,Positive,2016-05,POSITIVE,0.9989232420921326
9,hell yeah I'm a Mexican American and I'm voting for trump!!!,2016-05-26 02:51:56+00:00,-0.6458,Negative,2016-05,POSITIVE,0.9987446069717407
10,Trump 2016 folks!,2016-05-26 02:08:40+00:00,0.0,Neutral,2016-05,POSITIVE,0.9977836012840271
11,"Maybe he pays little or no tax, but 60 per cent of independent voters – which he needs if he is to win in November – want him to release his returns, and half of Republicans believe he should too
Read More: http://www.independent.co.uk/voices/so-what-exactly-is-donald-trump-hiding-in-his-unpublished-tax-returns-a7048761.html",2016-05-25 23:40:17+00:00,0.7343,Positive,2016-05,NEGATIVE,0.9666124582290649
12,Trump 2016  !!,2016-05-25 23:18:57+00:00,0.0,Neutral,2016-05,POSITIVE,0.9981101751327515
13,Tito Ortiz  lol,2016-05-25 22:59:18+00:00,0.4215,Positive,2016-05,POSITIVE,0.998471200466156
14,Trump 2016 !!!,2016-05-25 22:42:23+00:00,0.0,Neutral,2016-05,POSITIVE,0.99801105260849
15,Your opinion is GOD awful. Go with the action that could give  us power. .......... love you,2016-10-18 07:12:11+00:00,0.6166,Positive,2016-10,NEGATIVE,0.9917545318603516
16,Just show the ad and leave the interpretation to us. Frankly both were talked about pretty evenly in the ad.,2016-10-06 19:41:18+00:00,0.4588,Positive,2016-10,POSITIVE,0.9988320469856262
17,Trumps ads are information while Hillary's is a name calling game against Trump,2016-09-29 16:34:09+00:00,0.0,Neutral,2016-09,NEGATIVE,0.9955535531044006
18,lmao still waiting for the news saying it was all a practical joke,2016-09-29 13:31:24+00:00,0.7269,Positive,2016-09,NEGATIVE,0.9994475245475769
19,"Basically.
Anyone who votes for Trump is basically a White American racist.And a misogynist.
I am white,not an American,female.

You vote for him, in my view America gets what they deserve!

! Cannot wait for you're country meltdown.

Make America Great Again!

When was it EVER great? Only in the minds of Americans, who put their flag in EVERYTHING!!

You elect him and prove you are the dumbest country Ever! (ps the rest of the planet already knew that anyway(
Enjoy Drump!",2016-09-28 22:53:33+00:00,0.8825,Positive,2016-09,NEGATIVE,0.9962437152862549
20,Killary in jail,2016-09-25 15:35:10+00:00,0.0,Neutral,2016-09,NEGATIVE,0.9977972507476807
21,just a friendly reminder that trump raped a 13year old girl,2016-09-24 19:19:27+00:00,-0.34,Negative,2016-09,NEGATIVE,0.9955331087112427
22,"Hello Folks Jesus already won don't worry about the election ,get your life right with Jesus, the election is already done ,what you all getting work up about is smoke screen . Direspecting each other in reality neither Hillary Clinton  or donald trump  don't care about any of you. only Jesus loves and care for you all, so stop the insults and start praying.",2016-09-18 00:04:20+00:00,0.7875,Positive,2016-09,POSITIVE,0.9852104783058167
23,"The last person who said he would make their country great again was hitler, and we all know how well that turned out",2016-09-14 18:26:39+00:00,0.7351,Positive,2016-09,NEGATIVE,0.9945223331451416
24,If this country has four or how many more years of a Democrat this country is over.,2016-09-14 14:00:15+00:00,0.0,Neutral,2016-09,NEGATIVE,0.9976523518562317
25,"Fuck Donald Trump. I don't care who I offend.The guy is stupid and ignorant. People are stupid to think he's fit for presidency, he just bullshits and claims he will do things he can't. If elected he'll probably fuck America up.",2016-09-13 16:31:07+00:00,-0.9435,Negative,2016-09,NEGATIVE,0.9994970560073853
26,"I Vote for Trump, Go Trump!!!!",2016-09-09 20:43:19+00:00,0.0,Neutral,2016-09,POSITIVE,0.99880051612854
27,Trump looks like a corn husk doll,2016-09-07 18:34:23+00:00,0.3612,Positive,2016-09,NEGATIVE,0.9994819760322571
28,Trump 4 president! Greetings from the Netherlands,2016-09-03 13:29:34+00:00,0.4753,Positive,2016-09,POSITIVE,0.9986847043037415
29,Donald Trump 2016 brothers and sisters!!!,2016-09-02 16:44:47+00:00,0.0,Neutral,2016-09,POSITIVE,0.9979456067085266
30,TRUMP 2016,2016-08-30 00:03:13+00:00,0.0,Neutral,2016-08,POSITIVE,0.991146981716156
31,this is such bullshit. this is exactly what democrAts playbook is. Rules for radicals by Saul alinski who justified Satan as being the first radical in this book.,2016-08-25 01:34:12+00:00,-0.2732,Negative,2016-08,NEGATIVE,0.9993022680282593
